freq_hz,magnitude
2.325585937500000000e+03,3.600154102603450012e-19
2.336352539062500000e+03,3.503389107634734491e-19
2.347119140625000000e+03,3.404485479245546847e-19
2.357885742187500000e+03,3.316404255433042380e-19
2.368652343750000000e+03,3.224062631713080633e-19
2.379418945312500000e+03,3.139226368705569878e-19
2.390185546875000000e+03,3.054101379865517736e-19
2.400952148437500000e+03,2.973102297425347873e-19
2.411718750000000000e+03,2.895019493505660244e-19
2.422485351562500000e+03,2.818316731620682472e-19
2.433251953125000000e+03,2.743545725397561802e-19
2.444018554687500000e+03,2.672915392952383463e-19
2.454785156250000000e+03,2.602478100715371369e-19
2.465551757812500000e+03,2.535981958385935911e-19
2.476318359375000000e+03,2.469603971506723617e-19
2.487084960937500000e+03,2.406254768316441754e-19
2.497851562500000000e+03,2.345209684644011077e-19
2.508618164062500000e+03,2.285075838689232319e-19
2.519384765625000000e+03,2.227166218401888988e-19
2.530151367187500000e+03,2.170639799573906963e-19
2.540917968750000000e+03,2.116894617750024121e-19
2.551684570312500000e+03,2.062563177371502519e-19
2.562451171875000000e+03,2.012360109749130260e-19
2.573217773437500000e+03,1.961627388740862989e-19
2.583984375000000000e+03,1.912946657792028255e-19
2.594750976562500000e+03,1.866255888820926413e-19
2.605517578125000000e+03,1.820459337670506473e-19
2.616284179687500000e+03,1.775684673771565543e-19
2.627050781250000000e+03,1.732524077998935699e-19
2.637817382812500000e+03,1.690438887400800857e-19
2.648583984375000000e+03,1.650018876632223378e-19
2.659350585937500000e+03,1.609713441560028871e-19
2.670117187500000000e+03,1.571854274264033260e-19
2.680883789062500000e+03,1.533924323733803192e-19
2.691650390625000000e+03,1.497346015052464183e-19
2.702416992187500000e+03,1.462336090748576862e-19
2.713183593750000000e+03,1.427431281486053963e-19
2.723950195312500000e+03,1.394068325883971442e-19
2.734716796875000000e+03,1.361543469830156172e-19
2.745483398437500000e+03,1.329796033548992643e-19
2.756250000000000000e+03,1.298784775757325886e-19
2.767016601562500000e+03,1.268731833359849937e-19
2.777783203125000000e+03,1.239829030319637674e-19
2.788549804687500000e+03,1.211065571189499759e-19
2.799316406250000000e+03,1.183510892856193022e-19
2.810083007812500000e+03,1.156453491002144127e-19
2.820849609375000000e+03,1.130266589658671862e-19
2.831616210937500000e+03,1.104742790453200294e-19
2.842382812500000000e+03,1.079897478126631337e-19
2.853149414062500000e+03,1.055587576764614438e-19
2.863916015625000000e+03,1.032152734064874864e-19
2.874682617187500000e+03,1.008990546051344717e-19
2.885449218750000000e+03,9.866510977798635157e-20
2.896215820312500000e+03,9.648788874063305941e-20
2.906982421875000000e+03,9.435947635188348952e-20
2.917749023437500000e+03,9.229118940033162671e-20
2.928515625000000000e+03,9.027864034460240676e-20
2.939282226562500000e+03,8.829301666760408680e-20
2.950048828125000000e+03,8.640618983383885327e-20
2.960815429687500000e+03,8.451645029769728303e-20
2.971582031250000000e+03,8.270182272451963113e-20
2.982348632812500000e+03,8.092591769434316998e-20
2.993115234375000000e+03,7.919061605928916692e-20
3.003881835937500000e+03,7.750540330958522334e-20
3.014648437500000000e+03,7.586020760038598415e-20
3.025415039062500000e+03,7.425227913943196141e-20
3.036181640625000000e+03,7.268682116484301124e-20
3.046948242187500000e+03,7.116002974781676573e-20
3.057714843750000000e+03,6.966706615581442517e-20
3.068481445312500000e+03,6.821667518933636727e-20
3.079248046875000000e+03,6.679593915057407071e-20
3.090014648437500000e+03,6.540630832194066633e-20
3.100781250000000000e+03,6.406136008305050905e-20
3.111547851562500000e+03,6.274129102646040854e-20
3.122314453125000000e+03,6.145128910066492827e-20
3.133081054687500000e+03,6.020178751657345691e-20
3.143847656250000000e+03,5.896034602852989756e-20
3.154614257812500000e+03,5.777873765956720743e-20
3.165380859375000000e+03,5.660007880523455552e-20
