time_s,freq_hz
1.440199546485260917e+01,1.291992187500000000e+02
1.440480725623582892e+01,1.291992187500000000e+02
1.440761904761904866e+01,1.291992187500000000e+02
1.441043083900226840e+01,1.291992187500000000e+02
1.441324263038548814e+01,1.291992187500000000e+02
1.441605442176870788e+01,1.291992187500000000e+02
1.441886621315192762e+01,1.291992187500000000e+02
1.442167800453514737e+01,1.291992187500000000e+02
1.442448979591836888e+01,1.291992187500000000e+02
1.442730158730158863e+01,1.291992187500000000e+02
1.443011337868480837e+01,1.291992187500000000e+02
1.443292517006802811e+01,2.153320312500000000e+02
1.443573696145124785e+01,2.153320312500000000e+02
1.443854875283446759e+01,2.153320312500000000e+02
1.444136054421768733e+01,1.722656250000000000e+02
1.444417233560090708e+01,1.291992187500000000e+02
1.444698412698412682e+01,1.291992187500000000e+02
1.444979591836734834e+01,1.291992187500000000e+02
1.445260770975056808e+01,8.613281250000000000e+01
1.445541950113378782e+01,8.613281250000000000e+01
1.445823129251700756e+01,8.613281250000000000e+01
1.446104308390022730e+01,8.613281250000000000e+01
1.446385487528344704e+01,8.613281250000000000e+01
1.446666666666666679e+01,8.613281250000000000e+01
1.446947845804988653e+01,1.291992187500000000e+02
1.447229024943310804e+01,1.291992187500000000e+02
1.447510204081632779e+01,1.291992187500000000e+02
1.447791383219954753e+01,1.722656250000000000e+02
1.448072562358276727e+01,1.722656250000000000e+02
1.448353741496598701e+01,1.722656250000000000e+02
1.448634920634920675e+01,1.722656250000000000e+02
1.448916099773242649e+01,2.153320312500000000e+02
1.449197278911564624e+01,1.291992187500000000e+02
1.449478458049886598e+01,1.291992187500000000e+02
1.449759637188208750e+01,1.291992187500000000e+02
1.450040816326530724e+01,1.291992187500000000e+02
1.450321995464852698e+01,1.722656250000000000e+02
1.450603174603174672e+01,1.722656250000000000e+02
1.450884353741496646e+01,1.722656250000000000e+02
1.451165532879818620e+01,1.291992187500000000e+02
1.451446712018140595e+01,1.291992187500000000e+02
1.451727891156462569e+01,8.613281250000000000e+01
1.452009070294784721e+01,8.613281250000000000e+01
1.452290249433106695e+01,8.613281250000000000e+01
1.452571428571428669e+01,8.613281250000000000e+01
1.452852607709750643e+01,8.613281250000000000e+01
1.453133786848072617e+01,8.613281250000000000e+01
1.453414965986394591e+01,1.291992187500000000e+02
1.453696145124716566e+01,8.613281250000000000e+01
1.453977324263038540e+01,8.613281250000000000e+01
1.454258503401360691e+01,8.613281250000000000e+01
1.454539682539682666e+01,8.613281250000000000e+01
1.454820861678004640e+01,8.613281250000000000e+01
1.455102040816326614e+01,2.153320312500000000e+02
1.455383219954648588e+01,1.722656250000000000e+02
1.455664399092970562e+01,1.722656250000000000e+02
1.455945578231292536e+01,1.722656250000000000e+02
1.456226757369614511e+01,2.153320312500000000e+02
1.456507936507936485e+01,2.153320312500000000e+02
1.456789115646258637e+01,2.153320312500000000e+02
1.457070294784580611e+01,2.153320312500000000e+02
1.457351473922902585e+01,1.722656250000000000e+02
1.457632653061224559e+01,1.291992187500000000e+02
1.457913832199546533e+01,1.291992187500000000e+02
1.458195011337868507e+01,1.291992187500000000e+02
1.458476190476190482e+01,1.291992187500000000e+02
1.458757369614512456e+01,1.722656250000000000e+02
1.459038548752834608e+01,1.722656250000000000e+02
1.459319727891156582e+01,1.722656250000000000e+02
1.459600907029478556e+01,1.291992187500000000e+02
1.459882086167800530e+01,1.291992187500000000e+02
1.460163265306122504e+01,1.291992187500000000e+02
1.460444444444444478e+01,1.291992187500000000e+02
1.460725623582766453e+01,1.291992187500000000e+02
1.461006802721088427e+01,1.291992187500000000e+02
1.461287981859410579e+01,1.291992187500000000e+02
1.461569160997732553e+01,2.153320312500000000e+02
1.461850340136054527e+01,1.291992187500000000e+02
1.462131519274376501e+01,1.722656250000000000e+02
1.462412698412698475e+01,1.722656250000000000e+02
1.462693877551020449e+01,1.291992187500000000e+02
